id,raw_text,canonical_transliterated,translation,silver_label,silver_confidence,claude-opus-4-8_label,claude-opus-4-8_confidence,claude-opus-4-8_rationale,gemini-31-pro_label,gemini-31-pro_confidence,gemini-31-pro_rationale,gemini-35-flash_label,gemini-35-flash_confidence,gemini-35-flash_rationale,adjudicator_decision,adjudicator_notes
16222,spural,spural,of-marzabotto,boundary,high,boundary,low,"The text 'spural' is the boundary-vocabulary term meaning 'public/of-the-community', appearing in the classic boundary formula 'tular spural' (rule 6). However, the word 'tular' itself is absent and only 'spural' survives, so the boundary reading rests on a single fragmentary token.",unsure,high,"The inscription consists of the single isolated word 'spural' ('public' or 'of the city'). Because the object type and find-context are unknown ('Source tag: other') and it lacks a discriminating formula like 'tular' or 'mi', it permits multiple readings, such as a fragmented boundary marker or a public ownership mark. Per the edge cases in the codebook, it must be routed to adjudication.",unsure,medium,"The inscription consists of a single word 'spural' (genitive of 'spura', meaning 'public' or 'of the city/community'). Without diagnostic vocabulary like 'tular' (boundary) or object/context metadata, it is impossible to distinguish between a public boundary marker, a public ownership mark on a tile/vessel, or an administrative label.",,
6844,it--nturuc----------------------------------------s--,it--nturuc----------------------------------------s--,thisdid-dedicatems-cavithelittle-greek-to-thedemigod-hercules,dedicatory,medium,dedicatory,low,"The visible fragment contains 'nturuc' suggesting the giving verb 'turuce' ('dedicated/gave'), and the translation references dedicating to the demigod Hercules, matching decision-tree step 2 (verb of giving with recipient). Since Hercules is a deity/hero and there is no explicit vow or confirmed sanctuary findspot in the metadata, step 4 yields dedicatory rather than votive. However, the text is heavily fragmentary (intact-token ratio well below 0.5), so confidence is low.",dedicatory,high,"The text contains a clear verb of giving ('turuc', from 'tur-') and the translation specifies it was dedicated to the deity Hercules. Following the decision tree, the presence of a giving verb routes to Step 2, and without explicit sanctuary findspot metadata or explicit vow language for Step 3, Step 4 classifies a gift to a deity as dedicatory.",dedicatory,medium,"The inscription contains the verb of giving/dedicating 'turuc' (turuce) combined with a recipient (the deity Hercules, as indicated by the translation). This satisfies step 2 and step 4 of the decision tree, making 'dedicatory' the correct classification.",,
7927,turce,turce,gave,dedicatory,high,unsure,low,"The text contains only the verb of giving 'turce' with no recipient (deity, person, or sanctuary), so decision-tree step 2 fails its 'WITH a recipient' condition and cannot proceed to dedicatory/votive. With no recipient, findspot, or object context, the inscription is a single isolated verb-form insufficient to discriminate a class, matching the 'unsure' criteria for lack of a discriminating formula.",dedicatory,medium,"The inscription consists solely of the word 'turce' (gave), which is a discriminating verb of giving explicitly listed in Branch 2 of the decision tree. Although it lacks an explicit recipient or donor, the edge-case guidelines specify that fragmentary texts avoid the 'unsure' queue if they contain a diagnostic verb. Lacking a known sanctuary findspot or vow formula (Branch 3), the act of giving resolves to the 'dedicatory' class (Branch 4).",unsure,high,"The inscription consists of the single verb 'turce' ('gave') with no associated subject, object, or recipient. According to Step 2 of the decision tree, a dedicatory classification requires a verb of giving accompanied by a recipient; since this is missing and no other branch is satisfied, it must be routed to the adjudication queue.",,
CODEX_LL_IX,ara ślafc zec flaχ vacl in crapśti hanipalθi θui ceś zeri nunθeri eθ vacl θeśan tinśi ais cemnac celi huθiś zaθrumiś,ara ślafc zec flaχ vacl in crapśti hanipalθi θui ceś zeri nunθeri eθ vacl θeśan tinśi ais cemnac celi huθiś zaθrumiś,,dedicatory,high,unsure,low,"This text is clearly a liturgical/ritual calendar passage (Liber Linteus style), with cult vocabulary like 'vacl' (libation), 'θeśan' (dawn/offering), 'tinśi' (day of Tin), 'nunθeri' (to invoke), and date/number formulas ('celi huθiś zaθrumiś'). None of the seven closed classes—funerary, ownership, dedicatory, votive, legal, boundary, commercial—covers a prescriptive ritual liturgy, so no decision-tree branch (1-8) confidently matches and it routes to adjudication.",legal,medium,"The inscription is an excerpt from the Liber Linteus ritual calendar, containing prescriptive sacred-law instructions. Following branch 7 of the decision tree, its use of liturgical directives ('vacl' for libation, 'nunθeri' for obligatory offering), deities ('tinśi'), and specific dates ('celi huθiś zaθrumiś' for the 26th of the month Celi) qualifies it as a sacred law (lex sacra), despite being a linen book rather than a bronze or wax tablet.",unsure,high,"The text is a column from the Liber Linteus Zagrabiensis, a unique linen manuscript containing an extensive liturgical ritual calendar rather than a standard epigraphic inscription. Since it is a book-length ritual liturgy written in ink on linen, it does not fit standard epigraphic classifications like legal tablets or simple votive/dedicatory objects.",,
CODEX_LL_VI,ciz vacl θesan flerχva neθśrac hupniś zaθrumiś flerχva neθśrac śuci eiser śic śeuc tuθiu zilci vacl lauχumneti śacnicla θesan hupniś zaθrumiś flerχva neθśrac cilθcvi hupniś zaθrumiś,ciz vacl θesan flerχva neθśrac hupniś zaθrumiś flerχva neθśrac śuci eiser śic śeuc tuθiu zilci vacl lauχumneti śacnicla θesan hupniś zaθrumiś flerχva neθśrac cilθcvi hupniś zaθrumiś,,dedicatory,high,unsure,medium,"This is a passage from the Liber Linteus (Zagreb mummy wrapping), a ritual/liturgical calendar text with sacrificial and cultic vocabulary (vacl 'libation', flerχva 'offerings', eiser 'gods', zilci 'magistracy', θesan). The closed 7-class taxonomy has no category for liturgical/ritual-calendar texts; while it contains offering and deity language (branch 2/3/4), it lacks a giving verb (tur-/mulu-) with a discrete recipient and is not a deposited object at a sanctuary, so no branch cleanly matches. Per the codebook, texts that do not fit any class must be routed to adjudication.",legal,medium,"This text is from column VI of the Liber Linteus, a prescriptive ritual calendar and sacred law. Following step 7 of the decision tree, the inscription contains formal institutional and sacred-law vocabulary ('zilci' for magistracy, 'lauχumneti' for kingly context, 'śacnicla' for sacred regulations), placing this lex sacra into the legal category despite being on linen rather than a tablet.",unsure,high,"The text is an excerpt from Column VI of the Liber Linteus Zagrabiensis, which is a unique liturgical calendar prescribing rituals, sacrifices, and libations (e.g., 'vacl', 'flerχva'). Since it is a complex religious book/liturgy rather than a simple tomb inscription, gift-dedication, boundary marker, or contract, it does not fit any of the 7 closed epigraphic classes defined in the codebook.",,
CODEX_LL_VIII,celi huθiś zaθrumiś iχ nac aχrum flerχva neθśrac hamφeś celi huθiś zaθrumiś vacl trin sians cletram śrenχve nunθeri śpureśtreści enaś,celi huθiś zaθrumiś iχ nac aχrum flerχva neθśrac hamφeś celi huθiś zaθrumiś vacl trin sians cletram śrenχve nunθeri śpureśtreści enaś,,dedicatory,high,unsure,medium,"This is a ritual-calendar passage in the style of the Liber Linteus (Zagreb mummy wrapping), with liturgical/sacrificial vocabulary such as 'flerχva' (offerings), 'vacl' (libation), 'cletram śrenχve' (adorned litter/bier), and 'nunθeri' (to invoke/offer), plus a fixed date formula 'celi huθiś zaθrumiś' (on the 26th of celi). The decision tree offers no class for a prescriptive ritual/liturgical text: it is not a gift to a named deity or person (rule 2/4 fails), not a 'mi' + genitive ownership formula (rule 5), not a tular boundary (rule 6), and not a contractual/sale legal document (rule 7). No branch matches, so it routes to adjudication.",legal,medium,"The text belongs to the Liber Linteus (identified by 'CODEX_LL' and calendrical formulas like 'celi huθiś zaθrumiś'). It is a prescriptive ritual calendar detailing civic and religious obligations (containing 'vacl' for libation, 'flerχva' for sacrifices, and 'śpureśtreści' relating to the 'spur' or state). Following Rule 7, such extensive texts governing state ritual procedures function as 'sacred law', which falls under the 'legal' class.",unsure,high,"The text is from Column VIII of the Liber Linteus, a unique liturgical book and ritual calendar written on linen. It contains prescriptive ritual instructions (including dates like 'celi huθiś zaθrumiś' and offering verbs like 'nunθeri' and 'vacl') rather than a commemorative monument, contract, or single-object dedication. It does not fit any of the 7 standard epigraphic categories in the closed taxonomy.",,
Co 3.7,larθia : ateinei :  | flereσ : matrnσl :  | turce,larθia ateinei flereσ matrnσl turce,Larthia Ateinei dedicated (this statue) to the divinity Matrns.,dedicatory,high,dedicatory,medium,"The text contains the verb of giving 'turce' (gave/dedicated) with a recipient marked by 'flereσ' (divinity/offering) and the theonym 'matrnσl', matching decision-tree step 2 (verb of giving with recipient). No explicit sanctuary findspot or vow formula is present, so step 3 fails and we proceed to step 4: the recipient is a deity (Matrns) and the act is a gift, yielding dedicatory.",votive,high,"The inscription contains the giving verb 'turce' (dedicated) and a divine recipient ('matrnσl'), which triggers Step 2 of the decision tree. It is classified as votive under Step 3 because it includes the explicit ex-voto/offering term 'flereσ', matching the codebook's positive example for votive inscriptions.",dedicatory,high,"The inscription contains a clear verb of giving/dedicating ('turce') and a recipient deity ('flereσ matrnσl', 'to the divinity Matrns'). According to the decision tree, because the recipient is a deity and the act is a gift, and there is no explicit sanctuary context or vow formula specified, it matches step 4 for 'dedicatory'.",,
ETP 253,mi fuflunusra,mi fuflunusra,I (am) ofFufluns.,dedicatory,high,dedicatory,low,"The text 'mi fuflunusra' reads 'I (am) of Fufluns', with the recipient/possessor being the deity Fufluns (Etruscan Dionysus). Because the object appears to belong to a deity rather than a private person, this leans toward the dedicatory branch (decision-tree step 2-4) rather than plain ownership; however, there is no explicit verb of giving (tur-/mulu-) and no sanctuary find-context to confirm votive status.",ownership,medium,"The inscription consists solely of the first-person pronoun 'mi' and an adjectival/possessive form of the deity Fufluns, translating to 'I (am) of Fufluns.' Following the decision tree, the absence of a dedicatory verb or explicit votive formula forces a 'NO' at step 2, proceeding directly to step 5. The text perfectly matches the 'mi' + possessive formula with no other substantive text, which the rubric classifies as ownership, even when the possessor is a deity.",ownership,medium,"The inscription follows the 'mi + possessive' formula ('I am of Fufluns') without any verb of giving or dedicatory formula, routing it to Step 5 of the decision tree. Although Fufluns is a deity, the lack of a verb ('tur-', 'mulu-') or explicit dedicatory noun classifies this as ownership/possession under the 'verb > noun' tie-breaking rule.",,
ETP 352,raθs • turmsal velus luvχmsal θusti • θui meθlmθ mu[n]sθ[e]c [ • ] ims • epl macuni • hercles alpan tece IIC ei • utta θesca ac • penθa • [-(-)] • hu lave • zilci•  laθ ale • nulaθes •,raθs • turmsal velus luvχmsal θusti • θui meθlmθ mu[n]sθ[e]c [ • ] ims • epl macuni • hercles alpan tece iic ei • utta θesca ac • penθa • [-(-)] • hu lave • zilci• laθ ale • nulaθes •,"To Rath (and) Turms. The thusti of Vel, (son) of Luvkhmes, here in the city and in the munsla-... as a thank-offering (?) in the macun of Herakles. IIC. One shall not...(?) Hulave pentha in the governorship of La(r)th Nulathe.",dedicatory,high,votive,medium,"Decision tree step 2 matches: the text contains a dedicatory act ('alpan tece' = 'made as a thank-offering') with divine recipients (Rath, Turms, Herakles), so it advances to step 3. Step 3 is satisfied because the offering is placed within a sacred/sanctuary context ('macun of Herakles', 'meθlmθ') and includes thank-offering (alpan) language, which is more specific than plain dedicatory, yielding votive.",legal,medium,"While the inscription mentions an offering to deities ('alpan' to Rath, Turms, and Heracles), it bypasses Step 2 as it lacks the strictly listed dedicatory verbs or formulas (tur-, mulu-, cana, etc.). It triggers Step 7 because it features formal public and legal vocabulary typical of a sacred law, notably magistrate dating ('zilci' / in the governorship of), civic references ('meθlmθ' / in the city), and a prohibitive clause ('ei utta' / one shall not).",dedicatory,medium,"The inscription contains a dedicatory formula 'alpan tece' ('placed as a gift/offering') directed to deities ('hercles' / Herakles, and potentially 'raθs' and 'turmsal'). While it contains complex elements like state dating formulas ('zilci...'), the primary action recorded is the presentation of an offering to a deity.",,
LL 2,nunθenθ • cletram • σrenχve | tei • faσei,nunθenθ • cletram • σrenχve tei • faσei,(One) shall place (it) on the rakh (while) anointing (?) the litter with σrenχve (and) with this libation,dedicatory,high,unsure,low,"This is a line from the Liber Linteus (LL), a ritual/liturgical calendar text prescribing ceremonial actions ('nunθenθ' = shall offer/place, 'cletram' = litter, 'faσei' = libation), not any of the seven closed classes. It has ritual verbs but no named deity recipient (fails branch 2's recipient requirement), no giving verb like tur-/mulu-, no ownership 'mi' formula, no boundary/legal/commercial vocabulary. Per the codebook the class set is closed and non-fitting texts route to adjudication.",legal,medium,"The inscription contains prescriptive ritual instructions ('shall place', 'libation') characteristic of a 'lex sacra' (sacred law) text, commonly associated with the Liber Linteus. Following Step 7 of the decision tree, texts containing sacred law vocabulary and structure are classified as 'legal', even if the object is a linen book rather than a traditional tablet.",unsure,high,"The inscription is from the Liber Linteus (LL), a linen book containing a ritual liturgical calendar rather than a standard epigraphic type. Since liturgical/ritual prescriptions do not fit any of the 7 closed categories in the decision tree (it is not a legal contract, a funerary epitaph, or a physical votive/dedicatory offering), it must be classified as unsure.",,
