id,raw_text,canonical_transliterated,translation,silver_label_v1,silver_confidence_v1,gemini_label,gemini_confidence,gemini_rationale,llama_label,llama_confidence,llama_rationale,adjudicator_decision,adjudicator_notes
1085,arnt ziχn(i)al,arnt ziχn(i)al,,funerary,medium,unsure,high,"The inscription consists of a personal name ('arnt') and a second name in a genitival form ('ziχn(i)al'), which could be a matronymic or cognomen. The classification heavily depends on the object type and findspot, which are unknown ('source tag: other'). Without this context, the text alone could plausibly be funerary (if on an urn) or ownership (if on a portable item). Per the codebook's 'Edge cases and unsure' section, 'a single personal name with no context' must be routed to adjudication.",funerary,medium,"The inscription 'arnt ziχn(i)al' contains a personal name 'arnt' and a genitive form 'ziχn(i)al', suggesting a kinship or possessive relationship, which is common in funerary contexts. The presence of a personal name and a genitive suffix aligns with funerary inscriptions that often include the name of the deceased and their parentage or other relational information. Although the object type and findspot are not specified, the structure of the inscription leans towards a funerary context.",,
14612,a(ise)ra turanuve θaia,a(ise)ra turanuve θaia,,dedicatory,medium,dedicatory,high,"The inscription contains a clear verb of giving, 'turanuve', which is a 3rd person singular preterite form indicating an act of dedication. The recipient is explicitly divine, identified by 'aisera' ('of the gods') and the goddess name 'Turan'. Following the decision tree, the presence of a verb of giving with a divine recipient (Step 2: YES) and the absence of specific votive criteria like a sanctuary findspot or vow formula (Step 3: NO) leads to the classification 'dedicatory' at Step 4.",unsure,low,"The inscription 'a(ise)ra turanuve θaia' contains a verb 'turanuve' which seems related to 'tur-' (gave), suggesting a dedicatory context. However, the text is not well-understood, and the translation is empty. Without more context or a clear understanding of the verb and the names involved, it's difficult to confidently classify it.",,
14785,ramθas tetnial,ramθas tetnial,,funerary,medium,unsure,high,"The inscription consists of a personal name formula, 'ramθas tetnial', likely a praenomen and a patronymic/gentilicium. Without any information about the object it is inscribed on or its find-context (Source tag: 'other'), it is impossible to apply the decision tree. This formula could equally be funerary (on a tomb or urn) or an ownership mark (on a portable object), and the codebook explicitly states to mark cases as 'unsure' when the text is a single personal name with no context.",funerary,medium,"The inscription 'ramθas tetnial' contains a personal name in the genitive form, which is a common feature of funerary inscriptions indicating kinship or possession. The text does not contain explicit kinship or death formulas, but the genitive construction is consistent with funerary contexts. The decision tree's first rule is not fully satisfied due to lack of explicit kinship/death formula, but the genitive form leans towards a funerary interpretation.",,
3075,pilunice lautni(al),pilunice lautni(al),,funerary,high,dedicatory,medium,"The inscription contains the word 'pilunice', which displays the common 3rd person preterite active verbal ending '-ce' (cf. 'turce', 'muluvanice'). This ending strongly indicates an act of giving or dedicating. Following the decision tree, the presence of a verb of giving (Rule 2) without evidence of a sanctuary context or vow formula (Rule 3) leads to a 'dedicatory' classification (Rule 4). The name 'lautni(al)' likely identifies the donor or recipient family in the genitive case.",funerary,high,"The inscription 'pilunice lautni(al)' contains the term 'lautni', which is associated with 'freedman' status, a common funerary context. The presence of a personal name and a status indicator suggests a funerary context, as it likely identifies the deceased and their social status. This matches the decision tree's first branch for funerary inscriptions.",,
5037,suθi,suθi,,funerary,high,unsure,high,"The inscription consists of the single word 'suθi' ('tomb'), which is insufficient for a definitive classification. While the vocabulary is funerary, the text lacks the personal name and kinship/death formula required by Rule 1 of the decision tree. Lacking information on the object type or findspot, and with no other diagnostic words, the inscription must be marked 'unsure' as per the codebook's guidelines for single-word texts without determinative context.",funerary,medium,"The term 'suθi' is associated with funerary contexts, as it relates to 'tomb' or 'burial'. The decision tree's first step checks for tomb or grave-good context with personal name and kinship/death formula; while 'suθi' alone doesn't contain a personal name or kinship formula, it is strongly linked to funerary inscriptions. The object type and find context are unknown, but the term itself leans towards a funerary classification.",,
5092,lupuce,lupuce,,funerary,high,funerary,medium,"The inscription consists of the single word 'lupuce', which is a standard and widely-attested Etruscan verb meaning 'is dead' or 'has ceased to be'. This term functions as a 'death formula' which directly triggers Rule 1 of the decision tree. Although information about the object or findspot is missing, the verb itself is so specifically and exclusively sepulchral in its usage that a 'funerary' classification is warranted based on the text alone. Confidence is 'medium' rather than 'high' due to the absence of corroborating object-type evidence.",dedicatory,medium,"The verb 'lupuce' is a verb of giving or dedicating, similar to 'tur-' or 'mulu-', which are characteristic of dedicatory inscriptions. Although the recipient is not specified, the presence of this verb suggests a dedicatory context. The decision tree (rule 2) supports this classification.",,
5237,tuθiu χimθm casθ(n)ialθ lacθ,tuθiu χimθm casθ(n)ialθ lacθ,,dedicatory,medium,funerary,high,"The inscription contains explicit funerary vocabulary, namely `χimθm` ('tomb') and `lacθ` ('in the grave/loculus'), alongside the personal name of the deceased, `casθ(n)ialθ`. This combination directly satisfies rule 1 of the decision tree, identifying the text's purpose as marking a burial site. The funerary context is textually explicit and primary.",unsure,low,"The inscription 'tuθiu χimθm casθ(n)ialθ lacθ' lacks clear context or a known translation, making it difficult to apply the decision tree with confidence. The text does not contain recognizable Etruscan formulas or verbs that would guide classification into one of the defined categories. Without further information on the object or findspot, classification remains uncertain.",,
5511,cuclnies la(utni),cuclnies la(utni),,funerary,medium,unsure,high,"The inscription contains a personal name (`cuclnies`) and a status formula (`lautni`, 'freedman/woman'), which is very common in funerary contexts. However, the codebook requires information about the object (e.g., tomb, urn) or findspot to apply Rule 1 for a `funerary` classification. Without this context, and with no other discriminating features like verbs of giving (Rule 2) or ownership formulas (Rule 5), the inscription cannot be confidently classified and must be routed to adjudication as per the codebook's edge case rules.",ownership,medium,"The inscription 'cuclnies la(utni)' contains a personal name in the genitive form, suggesting possession or relation. The absence of a verb or explicit dedicatory formula and the presence of a genitive personal name aligns with the 'ownership' category, particularly for objects with maker marks or possessive identifiers.",,
9276,alpnas turce aiseras θuflθicla(s) trutvecie(s),alpnas turce aiseras θuflθicla(s) trutvecie(s),,dedicatory,high,votive,high,"The inscription contains the verb of giving 'turce' and a divine recipient 'aiseras' ('to the gods'), satisfying decision tree step 2. Step 3 is met because the text also includes the term 'trutvecie(s)', which is interpreted as a vow formula, making the inscription specifically votive rather than generally dedicatory.",dedicatory,high,"The inscription contains the verb 'turce', which is a verb of giving, and 'aiser-as', indicating a recipient, likely a deity or person of higher status. This matches the decision tree branch for dedicatory inscriptions. The presence of 'turce' and the dative or accusative form 'aiser-as' strongly supports this classification.",,
9449,mi suθi larθial,mi suθi larθial,,funerary,high,funerary,high,"The inscription contains the key noun 'suθi', meaning 'tomb'. Although the structure 'mi...larθial' resembles an ownership formula, the explicit sepulchral nature of the object named in the text is decisive. Per tie-breaking rule 1 ('Funerary trumps everything else'), this inscription is funerary.",ownership,medium,"The inscription 'mi suθi larθial' contains the possessive formula 'mi' + genitive, which is characteristic of ownership inscriptions. However, 'suθi' is often associated with funerary contexts, making the classification not entirely straightforward. The presence of 'mi' suggests ownership, but the term 'suθi' complicates this, as it typically refers to a tomb or burial context.",,
AS 1.40,[m]i lariśa feleśkenaσ' am[---],[m]i lariśa feleśkenaσ' am[---],,funerary,high,ownership,medium,"The inscription begins with the classic 'mi' + genitive personal name formula ('mi lariśa feleśkenaś'), which is the primary diagnostic for the 'ownership' class under decision tree rule #5. The final word is fragmentary ('am[---]'), which creates some ambiguity as it could potentially be part of a dedicatory verb. However, lacking a complete and clear verb of giving, the prominent and unambiguous possessive formula is the decisive feature.",unsure,low,"The inscription starts with 'mi lariśa feleśkenaσ' am[---]', which could be interpreted in multiple ways due to its fragmentary nature. The presence of 'mi' followed by a personal name in the genitive suggests ownership, but the verb 'am-' is incomplete and could lead to different interpretations. Without more context or a complete verb, it's challenging to confidently assign a label.",,
AS 5.1,aneσ' • caeσ' • puil • hu<p> ni • ei • itruta,aneσ' • caeσ' • puil • hu<p> ni • ei • itruta,,funerary,medium,funerary,high,"The inscription contains a personal name (`aneσ'`) followed by a standard kinship formula: a name in the genitive case (`caeσ'`, 'of Cae') and a kinship term (`puil`, 'wife'). This structure is a hallmark of Etruscan epitaphs and directly matches the positive examples provided for the `funerary` class. The decision tree is satisfied at Rule 1.",unsure,low,"The inscription 'aneσ' • caeσ' • puil • hu<p> ni • ei • itruta' does not clearly match any of the decision tree branches due to its unclear meaning and lack of recognizable Etruscan formulas or vocabulary related to the defined categories. The text is not obviously funerary, dedicatory, or related to ownership, and it lacks key terms associated with legal, boundary, or commercial inscriptions. The presence of 'hu<p>' suggests a potential transcription or reading issue, adding to the uncertainty.",,
At 1.100,[al]eθnas arnθ larisal zilaθ tarχnalθi amce,[al]eθnas arnθ larisal zilaθ tarχnalθi amce,,funerary,high,funerary,high,"The inscription provides the name of the deceased (Arnθ [Al]eθnas), a kinship formula ('larisal', meaning 'of Laris' i.e., son of Laris), and a title of office ('zilaθ', magistrate). This combination of a personal name and a patronymic is a primary characteristic of funerary epitaphs, satisfying Rule 1 of the decision tree. The verb 'amce' ('was') further confirms the text is a commemorative statement about a deceased individual's life.",legal,high,"The inscription contains the term 'zilaθ', which is a title of magistracy, and 'tarχnalθi', suggesting an official or legal context. The verb 'amce' indicates a past state of being or action, often used in legal or official inscriptions. The overall structure and vocabulary align with legal or contractual inscriptions.",,
